名稱:             描述:
005               "005 情報員"
10yard            "十碼大戰 ( 世界版 )"
10yard85          "10-Yard Fight '85 (US, Taito license)"
10yardj           "十碼大戰 ( 日版 )"
11beat            "J-聯盟足球: 最強 11 人"
18w               "18 Wheeler (set 1)"
18w2              "18 Wheeler (set 2)"
18wheelr          "18 Wheeler (deluxe) (Rev A)"
18wheels          "18 Wheeler (standard)"
18wheelu          "18 Wheeler (upright)"
1941              "1941 ( 世界版 )"
1941j             "1941 ( 日版 )"
1941r1            "1941: Counter Attack (World)"
1941u             "1941: Counter Attack (USA 900227)"
1942              "1942 ( 校正 B )"
1942a             "1942 ( 校正 A )"
1942abl           "1942 (Revision A, bootleg)"
1942b             "1942 ( 初版 )"
1942h             "42"
1942p             "1942 (prototype)"
1942w             "1942 ( 威廉斯電子 )"
1943              "1943 ( 美版 )"
1943b             "1943: Battle of Midway (bootleg, hack of Japan set)"
1943j             "1943 ( 日版 )"
1943ja            "1943: Midway Kaisen (Japan)"
1943kai           "1943 改"
1943u             "1943: The Battle of Midway (US, Rev C)"
1944              "1944 ( 美版 )"
1944d             "1944 ( 鳳凰版 )"
1944da            "1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg alt)"
1944j             "1944 ( 日版 )"
1945kiii          "1945 三．改"
19in1             "19 in 1 MAME bootleg"
19xx              "19XX ( 美版 )"
19xxa             "19XX: The War Against Destiny (Asia 960104)"
19xxar1           "19XX ( 亞版 )"
19xxb             "19XX ( 巴西版 )"
19xxd             "19XX ( 鳳凰版 )"
19xxh             "19XX ( 西班牙 )"
19xxj             "19XX ( 日二版 )"
19xxjr1           "19XX ( 日一版 )"
19xxjr2           "19XX: The War Against Destiny (Japan 951207)"
1on1gov           "1 對 1 鬥牛"
2020bb            "2020 年超級棒球 ( 一版 )"
2020bba           "2020 年超級棒球 ( 二版 )"
2020bbcd          "2020 Super Baseball (NGCD Conversion)"
2020bbh           "2020 年超級棒球 ( 三版 )"
20pacgal          "拿姆科懷舊 2 合 1 ( V1.04 )"
20pacgalr0        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)"
20pacgalr1        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)"
20pacgalr2        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)"
20pacgalr3        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03)"
20pacgalr4        "Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)"
24_130            "24 v1.30"
24_140            "24 v1.40"
24_144            "24 v1.44"
24_150            "24 v1.50"
24cdjuke          "Midcoin Juke Box 24CD"
25pacman          "Pac-Man - 25th Anniversary Edition (Rev 3.00)"
25pacmano         "Pac-Man - 25th Anniversary Edition (Rev 2.00)"
280zzzap          "達特桑 280 賽車"
2mindril          "二分鐘衝刺"
2spicy            "2 Spicy"
30test            "30 Test (Remake)"
32x               "Genesis with 32X (USA, NTSC)"
32x_scd           "Sega CD (USA, NTSC, w/32X)"
32xe              "Mega Drive with 32X (Europe, PAL)"
32xj              "Mega Drive with 32X (Japan, NTSC)"
39in1             "39 合 1"
3bagflnz          "3 Bags Full (3VXFC5345, New Zealand)"
3bagflvt          "3 Bags Full (5VXFC790, Victoria)"
3countb           "火爆摔角"
3dobios           "3DO Bios"
3in1semi          "超級 3 合 1"
3kokushi          "三刻志"
3on3dunk          "3 On 3 Dunk Madness (US, prototype? 1997/02/04)"
3stooges          "三個傻蛋"
3stoogesa         "The Three Stooges In Brides Is Brides (set 2)"
3super8           "超級八號球 3 ( 義大利 )"
3wishrd           "Three Wishes Red (Russia) (Atronic)"
3wonders          "神奇 3 合 1 ( 世界版 )"
3wondersb         "Three Wonders (bootleg)"
3wondersh         "Three Wonders (hack)"
3wondersr1        "Three Wonders (World 910513)"
3wondersu         "Three Wonders (USA 910520)"
3x3puzzl          "3X3 Puzzle (Enterprise)"
3x3puzzla         "3X3 Puzzle (Normal)"
40love            "網球之愛"
47pie2            "偶像雀士 2 ( 1.1 )"
47pie2o           "偶像雀士 2 ( 1.0 )"
48in1             "48 in 1 MAME bootleg (set 1, ver 3.09)"
48in1a            "48 in 1 MAME bootleg (set 3, ver 3.02)"
48in1b            "48 in 1 MAME bootleg (set 2, ver 3.09, alt flash)"
4dwarrio          "4 次元戰士"
4enlinea          "Cuatro en Linea"
4enraya           "歡樂 4 連線"
4enrayaa          "4 En Raya (set 2)"
4in1              "歡樂 4 合 1"
4in1a             "4 in 1 MAME bootleg (set 1, ver 3.00)"
4in1b             "4 in 1 MAME bootleg (set 2)"
4in1boot          "Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)"
4psimasy          "4P 麻將"
4roses            "四玫瑰 ( 一版 )"
4rosesa           "四玫瑰 ( 二版 )"
500gp             "GP 500"
50lions           "50 Lions (10120511, NSW/ACT)"
50lionsa          "50 Lions (10156111, Malaysia)"
5acespkr          "5-Aces Poker"
5clown            "Five Clown (English, set 1)"
5clowna           "Five Clown (English, set 2)"
5clownsp          "Five Clown (Spanish hack)"
600               "600"
60in1             "60 in 1 MAME bootleg (ver 3.00)"
